match,rank,guild,nickname,job_raw,observed_text,contribution,sample_date,source,source_row,matched_nickname,job_name,observed_performance,observed_unit,level,combat_power,combat_power_man,profile_job,profile_guild,profile_server,profile_source_url,profile_retrieved_at,profile_data_date,profile_timing,guild_for_fit,fit_eligible,exclusion_reason,possible_nickname_matches,extraction,nickname_raw,guild_source,nickname_correction
빅딜,1,SSIM,주식회사서영,바이퍼,3978억 934만,1500000,2026-09-14,빅딜_대항전.xlsx,2,주식회사서영,바이퍼,397809340000,absolute (image display rounded to 억/만),115,5경 8603조 2478억 2951만,5860324782951,바이퍼,SSIM,Scania 60,https://mgf.gg/contents/guild_info.php?g_name=SSIM,2026-09-16T22:22:34.619416+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,SSIM,True,,,,,,
빅딜,2,인형나라,글쟈,섀도어,2094억 398만,1200000,2026-09-14,빅딜_대항전.xlsx,3,글쟈,섀도어,209403980000,absolute (image display rounded to 억/만),114,1경 447조 5129억 7199만,1044751297199,섀도어,인형나라,Scania 25,https://mgf.gg/contents/guild_info.php?g_name=%EC%9D%B8%ED%98%95%EB%82%98%EB%9D%BC,2026-09-16T22:22:34.116204+09:00,2026.09.12,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,인형나라,True,,,,,,
빅딜,3,86서버,이슬러버,히어로,1961억 7266만,950000,2026-09-14,빅딜_대항전.xlsx,4,이슬러버,히어로,196172660000,absolute (image display rounded to 억/만),114,1경 763조 7057억 4323만,1076370574323,히어로,86서버,Scania 33,https://mgf.gg/contents/guild_info.php?g_name=86%EC%84%9C%EB%B2%84,2026-09-16T22:22:33.112070+09:00,2026.09.12,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,86서버,True,,,,,,
빅딜,4,빅딜,굴러가는일상,비숍,1685억 5643만,850000,2026-09-14,빅딜_대항전.xlsx,5,굴러가는일상,비숍,168556430000,absolute (image display rounded to 억/만),112,5522조 7382억 506만,552273820506,비숍,빅딜,Scania 2,https://mgf.gg/contents/guild_info.php?g_name=%EB%B9%85%EB%94%9C,2026-09-16T22:22:32.620426+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,빅딜,True,,,,,,
빅딜,5,눈별,심신삐약자,아크메이지 - 썬콜,1676억 9701만,780000,2026-09-14,빅딜_대항전.xlsx,6,심신삐약자,"아크메이지(썬,콜)",167697010000,absolute (image display rounded to 억/만),114,4539조 9051억 8255만,453990518255,"아크메이지(썬,콜)",눈별,Scania 6,https://mgf.gg/contents/guild_info.php?g_name=%EB%88%88%EB%B3%84,2026-09-16T22:22:33.610242+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,눈별,True,,,,,,
빅딜,6,눈별,우니아파요,나이트로드,1664억 4869만,720000,2026-09-14,빅딜_대항전.xlsx,7,우니아파요,나이트로드,166448690000,absolute (image display rounded to 억/만),114,5708조 2885억 4200만,570828854200,나이트로드,눈별,Scania 6,https://mgf.gg/contents/guild_info.php?g_name=%EB%88%88%EB%B3%84,2026-09-16T22:22:33.610242+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,눈별,True,,,,,,
빅딜,7,SSIM,블루펀치,바이퍼,1649억 6015만,670000,2026-09-14,빅딜_대항전.xlsx,8,블루펀치,바이퍼,164960150000,absolute (image display rounded to 억/만),112,4135조 8792억 9596만,413587929596,바이퍼,SSIM,Scania 60,https://mgf.gg/contents/guild_info.php?g_name=SSIM,2026-09-16T22:22:34.619416+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,SSIM,True,,,,,,
빅딜,8,빅딜,두향,팔라딘,1638억 4756만,630000,2026-09-14,빅딜_대항전.xlsx,9,두향,팔라딘,163847560000,absolute (image display rounded to 억/만),113,3815조 5213억 6600만,381552136600,팔라딘,빅딜,Scania 2,https://mgf.gg/contents/guild_info.php?g_name=%EB%B9%85%EB%94%9C,2026-09-16T22:22:32.620426+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,빅딜,True,,,,,,
빅딜,9,인형나라,꿀꿀맛,아크메이지 - 썬콜,1626억 8529만,590000,2026-09-14,빅딜_대항전.xlsx,10,꿀꿀맛,"아크메이지(썬,콜)",162685290000,absolute (image display rounded to 억/만),113,2386조 8932억 4753만,238689324753,"아크메이지(썬,콜)",인형나라,Scania 25,https://mgf.gg/contents/guild_info.php?g_name=%EC%9D%B8%ED%98%95%EB%82%98%EB%9D%BC,2026-09-16T22:22:34.116204+09:00,2026.09.12,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,인형나라,True,,,,,,
빅딜,10,눈별,유수달,아크메이지 - 불독,1549억 5588만,560000,2026-09-14,빅딜_대항전.xlsx,11,유수달,"아크메이지(불,독)",154955880000,absolute (image display rounded to 억/만),114,2079조 7509억 3154만,207975093154,"아크메이지(불,독)",눈별,Scania 6,https://mgf.gg/contents/guild_info.php?g_name=%EB%88%88%EB%B3%84,2026-09-16T22:22:33.610242+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,눈별,True,,,,,,
빅딜,11,눈별,도하리,팔라딘,1521억 4863만,530000,2026-09-14,빅딜_대항전.xlsx,12,도하리,팔라딘,152148630000,absolute (image display rounded to 억/만),113,2938조 3489억 2905만,293834892905,팔라딘,눈별,Scania 6,https://mgf.gg/contents/guild_info.php?g_name=%EB%88%88%EB%B3%84,2026-09-16T22:22:33.610242+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,눈별,True,,,,,,
빅딜,12,SSIM,찌그러진모자,팔라딘,1509억 2808만,500000,2026-09-14,빅딜_대항전.xlsx,13,찌그러진모자,팔라딘,150928080000,absolute (image display rounded to 억/만),112,2630조 7259억 1578만,263072591578,팔라딘,SSIM,Scania 60,https://mgf.gg/contents/guild_info.php?g_name=SSIM,2026-09-16T22:22:34.619416+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,SSIM,True,,,,,,
빅딜,13,빅딜,몽호,비숍,1473억 26만,470000,2026-09-14,빅딜_대항전.xlsx,14,몽호,비숍,147300260000,absolute (image display rounded to 억/만),115,3217조 3423억 2146만,321734232146,비숍,빅딜,Scania 2,https://mgf.gg/contents/guild_info.php?g_name=%EB%B9%85%EB%94%9C,2026-09-16T22:22:32.620426+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,빅딜,True,,,,,,
빅딜,14,눈별,이용하다,보우마스터,1436억 2506만,440000,2026-09-14,빅딜_대항전.xlsx,15,이용하다,보우마스터,143625060000,absolute (image display rounded to 억/만),112,1700조 3358억 9824만,170033589824,보우마스터,눈별,Scania 6,https://mgf.gg/contents/guild_info.php?g_name=%EB%88%88%EB%B3%84,2026-09-16T22:22:33.610242+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,눈별,True,,,,,,
빅딜,15,눈별,해달잉,보우마스터,1414억 6133만,410000,2026-09-14,빅딜_대항전.xlsx,16,해달잉,보우마스터,141461330000,absolute (image display rounded to 억/만),113,1745조 1553억 5425만,174515535425,보우마스터,눈별,Scania 6,https://mgf.gg/contents/guild_info.php?g_name=%EB%88%88%EB%B3%84,2026-09-16T22:22:33.610242+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,눈별,True,,,,,,
빅딜,16,인형나라,디매트로돈,비숍,1407억 1453만,380000,2026-09-14,빅딜_대항전.xlsx,17,디매트로돈,비숍,140714530000,absolute (image display rounded to 억/만),112,2148조 7069억 2080만,214870692080,비숍,인형나라,Scania 25,https://mgf.gg/contents/guild_info.php?g_name=%EC%9D%B8%ED%98%95%EB%82%98%EB%9D%BC,2026-09-16T22:22:34.116204+09:00,2026.09.12,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,인형나라,True,,,,,,
빅딜,17,86서버,이지카이트,섀도어,1402억 3605만,350000,2026-09-14,빅딜_대항전.xlsx,18,이지카이트,섀도어,140236050000,absolute (image display rounded to 억/만),112,3923조 6107억 7357만,392361077357,섀도어,86서버,Scania 33,https://mgf.gg/contents/guild_info.php?g_name=86%EC%84%9C%EB%B2%84,2026-09-16T22:22:33.112070+09:00,2026.09.12,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,86서버,True,,,,,,
빅딜,18,눈별,죽창당일개통,나이트로드,1401억 3862만,320000,2026-09-14,빅딜_대항전.xlsx,19,죽창당일개통,나이트로드,140138620000,absolute (image display rounded to 억/만),113,2365조 5050억 9154만,236550509154,나이트로드,눈별,Scania 6,https://mgf.gg/contents/guild_info.php?g_name=%EB%88%88%EB%B3%84,2026-09-16T22:22:33.610242+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,눈별,True,,,,,,
빅딜,19,SSIM,김또느,바이퍼,1389억 3913만,290000,2026-09-14,빅딜_대항전.xlsx,20,김또느,바이퍼,138939130000,absolute (image display rounded to 억/만),112,2015조 7183억 7524만,201571837524,바이퍼,SSIM,Scania 60,https://mgf.gg/contents/guild_info.php?g_name=SSIM,2026-09-16T22:22:34.619416+09:00,2026.09.16,2026-09-16 proxy for 2026-09-14 sample; not contemporaneous,SSIM,True,,,,,,
