match,rank,guild,nickname,job_name,observed_text,possible_nickname_matches,exclusion_reason
빅딜,51,빅딜,퍼품,비숍,916억 3750만,퍼퓸,missing_profile
빅딜,56,86서버,으쉐,비숍,900억 4131만,으눼,missing_profile
빅딜,60,인형나라,뷁곯쭤,캡틴,880억 7035만,,missing_profile
빅딜,61,인형나라,오우셋,바이퍼,865억 9753만,오우솃,missing_profile
빅딜,74,인형나라,똥땅이흥,바이퍼,693억 124만,똥땅이횽,missing_profile
빅딜,77,인형나라,숲이,"아크메이지(썬,콜)",685억 5039만,솖이,missing_profile
빅딜,82,눈별,게니규니,섀도어,642억 9689만,계니규니,missing_profile
빅딜,98,SSIM,갸렝,바이퍼,508억 5407만,갸렌,missing_profile
빅딜,128,SSIM,깎뜪,비숍,312억 6996만,,missing_profile
빅딜,132,SSIM,당근이늬,보우마스터,257억 6200만,당근이니,missing_profile
셀린느,41,,익맹이,비숍,7677억 750만,익맹;둄이,missing_profile
셀린느,68,셀린느,아이스꾸임,비숍,3123억 3640만,,missing_profile
