filename,row_index_in_image,nickname,job,server,score,note
"KakaoTalk_20260422_220955639.png","1","항상밝은하루","비숍","","5,056,766",""
"KakaoTalk_20260422_220955639.png","2","근접맞나이거","섀도어","","5,949,537",""
"KakaoTalk_20260422_220955639.png","3","뻠삐","다크나이트","","5,928,522",""
"KakaoTalk_20260422_220955639_01.png","1","뻔수니","섀도어","","5,919,828",""
"KakaoTalk_20260422_220955639_01.png","2","부질","섀도어","","5,917,098",""
"KakaoTalk_20260422_220955639_01.png","3","성처이","히어로","","5,909,118","nickname OCR uncertain"
"KakaoTalk_20260422_220955639_02.png","1","빠다딘","다크나이트","","5,846,610",""
"KakaoTalk_20260422_220955639_02.png","2","김모나","아크메이지 - 불독","","5,843,541",""
"KakaoTalk_20260422_220955639_02.png","3","제로슈가","아크메이지 - 불독","","5,808,492",""
"KakaoTalk_20260422_221320048.png","1","다송이","신궁","","5,761,989",""
"KakaoTalk_20260422_221320048.png","2","대뱅어조아","섀도어","","5,750,535","nickname OCR uncertain"
"KakaoTalk_20260422_221320048.png","3","아깡만듀","아크메이지 - 썬콜","","5,696,994","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_01.png","1","아모르파티뤠","아크메이지 - 썬콜","","5,689,698","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_01.png","2","냥도","섀도어","","5,673,291",""
"KakaoTalk_20260422_221320048_01.png","3","우당탕탕","아크메이지 - 불독","","5,616,165",""
"KakaoTalk_20260422_221320048_02.png","1","김창구","섀도어","","5,543,583",""
"KakaoTalk_20260422_221320048_02.png","2","봄넝","신궁","","5,415,384","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_02.png","3","할롱","아크메이지 - 썬콜","","5,340,696",""
"KakaoTalk_20260422_221320048_03.png","1","악할뻔","섀도어","","5,310,135",""
"KakaoTalk_20260422_221320048_03.png","2","킵술하","비숍","","5,212,785",""
"KakaoTalk_20260422_221320048_03.png","3","참발","비숍","","5,119,524",""
"KakaoTalk_20260422_221320048_04.png","1","응누","비숍","","5,103,933",""
"KakaoTalk_20260422_221320048_04.png","2","포뽀야","아크메이지 - 썬콜","","5,031,114",""
"KakaoTalk_20260422_221320048_04.png","3","임승민","섀도어","","5,007,324",""
"KakaoTalk_20260422_221320048_05.png","1","혜영","아크메이지 - 썬콜","","4,968,216",""
"KakaoTalk_20260422_221320048_05.png","2","26짱바","아크메이지 - 썬콜","","4,905,072","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_05.png","3","악해간쪼석","아크메이지 - 불독","","4,901,022","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_06.png","1","맥맥","블래스터","","4,888,425","job OCR uncertain"
"KakaoTalk_20260422_221320048_06.png","2","얼음조아","아크메이지 - 썬콜","","4,878,822",""
"KakaoTalk_20260422_221320048_06.png","3","구맹","신궁","","4,772,889","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_07.png","1","류테","신궁","","4,761,312",""
"KakaoTalk_20260422_221320048_07.png","2","노독","다크나이트","","4,730,649",""
"KakaoTalk_20260422_221320048_07.png","3","순샷","다크나이트","","4,709,883","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_08.png","1","삐닉","섀도어","","4,688,013",""
"KakaoTalk_20260422_221320048_08.png","2","뽀라비","아크메이지 - 썬콜","","4,655,685",""
"KakaoTalk_20260422_221320048_08.png","3","용레니","히어로","","4,629,183",""
"KakaoTalk_20260422_221320048_09.png","1","돌아온홍굴이","히어로","","4,605,822",""
"KakaoTalk_20260422_221320048_09.png","2","퀸돈대통","히어로","","4,591,275","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_09.png","3","프리프리","섀도어","","4,580,889",""
"KakaoTalk_20260422_221320048_10.png","1","안스제","다크나이트","","4,575,085","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_10.png","2","브지","보우마스터","","4,562,988",""
"KakaoTalk_20260422_221320048_10.png","3","왕할불가","다크나이트","","4,477,458","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_11.png","1","뭉홍","다크나이트","","4,450,863",""
"KakaoTalk_20260422_221320048_11.png","2","김도유니","아크메이지 - 썬콜","","4,363,332",""
"KakaoTalk_20260422_221320048_11.png","3","김치새대기","히어로","","4,301,910","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_12.png","1","분분","다크나이트","","4,253,418",""
"KakaoTalk_20260422_221320048_12.png","2","메린이이","신궁","","4,244,736","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_12.png","3","최씨용","비숍","","4,214,616",""
"KakaoTalk_20260422_221320048_13.png","1","하타치","아크메이지 - 썬콜","","4,178,079",""
"KakaoTalk_20260422_221320048_13.png","2","57년김춘배","신궁","","4,155,219",""
"KakaoTalk_20260422_221320048_13.png","3","무쎈","아크메이지 - 썬콜","","4,152,393","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_14.png","1","찰스제","아크메이지 - 불독","","4,131,168",""
"KakaoTalk_20260422_221320048_14.png","2","안재동","아크메이지 - 썬콜","","4,120,161",""
"KakaoTalk_20260422_221320048_14.png","3","위루풍","신궁","","4,084,992","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_15.png","1","표창빌런","나이트로드","","4,054,731",""
"KakaoTalk_20260422_221320048_15.png","2","탱탱볼탱탱볼","아크메이지 - 썬콜","","4,025,820",""
"KakaoTalk_20260422_221320048_15.png","3","초꼬님","섀도어","","4,022,838",""
"KakaoTalk_20260422_221320048_16.png","1","메기무라딘","팔라딘","","3,980,766",""
"KakaoTalk_20260422_221320048_16.png","2","울힘","아크메이지 - 썬콜","","3,968,067","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_16.png","3","81학찬","아크메이지 - 썬콜","","3,712,746",""
"KakaoTalk_20260422_221320048_17.png","1","딱콩","아크메이지 - 썬콜","","3,705,726",""
"KakaoTalk_20260422_221320048_17.png","2","기차아저씨","섀도어","","3,664,356",""
"KakaoTalk_20260422_221320048_17.png","3","루틴","섀도어","","3,611,466",""
"KakaoTalk_20260422_221320048_18.png","1","보마가될인재","보우마스터","","3,564,450",""
"KakaoTalk_20260422_221320048_18.png","2","럿해","섀도어","","3,522,024","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_18.png","3","예양","섀도어","","3,509,304","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_19.png","1","아빠의기운","아크메이지 - 썬콜","","3,495,261",""
"KakaoTalk_20260422_221320048_19.png","2","포근한소리","섀도어","","3,482,382",""
"KakaoTalk_20260422_221320048_19.png","3","26즈신","아크메이지 - 썬콜","","3,478,593","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_20.png","1","강한고등어","나이트로드","","3,449,082",""
"KakaoTalk_20260422_221320048_20.png","2","아신아이","섀도어","","3,356,556",""
"KakaoTalk_20260422_221320048_20.png","3","1조플렉스였던","신궁","","3,339,549",""
"KakaoTalk_20260422_221320048_21.png","1","오쪼","비숍","","3,243,345",""
"KakaoTalk_20260422_221320048_21.png","2","못스제","다크나이트","","3,242,733",""
"KakaoTalk_20260422_221320048_21.png","3","금스파","아크메이지 - 썬콜","","3,220,926",""
"KakaoTalk_20260422_221320048_22.png","1","남규리","섀도어","","3,193,839",""
"KakaoTalk_20260422_221320048_22.png","2","개도독놈","다크나이트","","3,091,866","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_22.png","3","까샤C","섀도어","","3,080,184",""
"KakaoTalk_20260422_221320048_23.png","1","kiaer","신궁","","3,074,952",""
"KakaoTalk_20260422_221320048_23.png","2","김밍끼","비숍","","3,065,310",""
"KakaoTalk_20260422_221320048_23.png","3","사철희","아크메이지 - 썬콜","","3,057,855",""
"KakaoTalk_20260422_221320048_24.png","1","겜재이","나이트로드","","3,047,175",""
"KakaoTalk_20260422_221320048_24.png","2","로넌","비숍","","3,039,507","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_24.png","3","대수징","섀도어","","2,991,735",""
"KakaoTalk_20260422_221320048_25.png","1","고영희밥묘미","히어로","","2,986,197","nickname OCR uncertain"
"KakaoTalk_20260422_221320048_25.png","2","봉봉월드","섀도어","","2,981,634",""
