filename,row_index_in_image,nickname,job,server,score,note,combat_power
KakaoTalk_20260422_220955241.png,1,새뤽,비숍,,3165만 723?,닉네임/점수 일부 가림 | 전투력 미확인,
KakaoTalk_20260422_220955241.png,2,신규짱,다크나이트,,2949만 3270,전투력 미확인,
KakaoTalk_20260422_220955241.png,3,샛냥이,신궁,,2299만 8528,전투력 미확인,
KakaoTalk_20260422_220955241_01.png,1,귀여워서미안,비숍,,2271만 9144,,867조 594억 6221만
KakaoTalk_20260422_220955241_01.png,2,무치z,새도어,,2261만 5263,,1경 3998조 7324억 44만
KakaoTalk_20260422_220955241_01.png,3,힐줄까,비숍,,2167만 8156,,1경 3733조 6869억 8723만
KakaoTalk_20260422_220955241_02.png,1,셜즈,다크나이트,,1961만 7441,전투력 미확인,
KakaoTalk_20260422_220955241_02.png,2,악한고등어,보우마스터,,1923만 6414,전투력 미확인,
KakaoTalk_20260422_220955241_02.png,3,쑥곡,다크나이트,,1902만 9486,전투력 미확인,
KakaoTalk_20260422_220955241_03.png,1,살보시,비숍,,1768만 6365,전투력 미확인,
KakaoTalk_20260422_220955241_03.png,2,돈스,비숍,,1685만 1594,,3322조 3154억 8065만
KakaoTalk_20260422_220955241_03.png,3,네네미정,다크나이트,,1581만 2748,전투력 미확인,
KakaoTalk_20260422_220955241_04.png,1,별국,새도어,,1578만 6600,전투력 미확인,
KakaoTalk_20260422_220955241_04.png,2,NUKE,비숍,,1552만 1394,,3582조 4414억 320만
KakaoTalk_20260422_220955241_04.png,3,새주,아크메이지 - 불독,,1527만 6693,,13만 7181 13만
KakaoTalk_20260422_220955241_05.png,1,김우이,신궁,,1525만 6320,,610조 7151억 5119만
KakaoTalk_20260422_220955241_05.png,2,피즈,신궁,,1470만 9930,,6억 9120만
KakaoTalk_20260422_220955241_05.png,3,THE끌림,새도어,,1453만 6434,,9922조 8447억 1900만
KakaoTalk_20260422_220955241_06.png,1,문디르,비숍,,1394만 5041,,310조 3204억 2035만
KakaoTalk_20260422_220955241_06.png,2,가승혁,히어로,,1303만 368,전투력 미확인,
KakaoTalk_20260422_220955241_06.png,3,주정뱅이,히어로,,1286만 6403,,4조 9322억 8657만
KakaoTalk_20260422_220955241_07.png,1,스타캐치,새도어,,1213만 728,,1549조 1560억 6234만
KakaoTalk_20260422_220955241_07.png,2,빌런투킬,팔라딘,,1179만 7692,,1123조 3986억 1263만
KakaoTalk_20260422_220955241_07.png,3,앨베,히어로,,1169만 7450,전투력 미확인,
KakaoTalk_20260422_220955241_08.png,1,꽃을든남자,히어로,,1154만 1159,,144조 7908억 1983만
KakaoTalk_20260422_220955241_08.png,2,베티베디베,아크메이지 - 불독,,1144만 9299,,244조 5209억 2788만
KakaoTalk_20260422_220955241_08.png,3,단풍누비,비숍,,1137만 3510,전투력 미확인,
KakaoTalk_20260422_220955241_09.png,1,키은,비숍,,1136만 9898,,70조 6282억 2937만
KakaoTalk_20260422_220955241_09.png,2,연지임당,비숍,,1125만 7296,,57조 4400억 9096만
KakaoTalk_20260422_220955241_09.png,3,핫불만상,비숍,,1120만 5813,전투력 미확인,
KakaoTalk_20260422_220955241_10.png,1,키노농,새도어,,1109만 1117,전투력 미확인,
KakaoTalk_20260422_220955241_10.png,2,실민,새도어,,1104만 2211,,1668조 7853억 4943만
KakaoTalk_20260422_220955241_10.png,3,디롤핑,팔라딘,,1090만 4952,전투력 미확인,
KakaoTalk_20260422_220955241_11.png,1,케켁3,히어로,,1070만 9724,전투력 미확인,
KakaoTalk_20260422_220955241_11.png,2,부엉이없다,새도어,,1058만 592,,258조 4957억 4006만
KakaoTalk_20260422_220955241_11.png,3,문합,아크메이지 - 불독,,1056만 7782,전투력 미확인,
KakaoTalk_20260422_220955241_12.png,1,한마드릴,팔라딘,,1038만 7041,,1039조 599억 7234만
KakaoTalk_20260422_220955241_12.png,2,석히,아크메이지 - 썬콜,,1037만 43,,269억 2368만
KakaoTalk_20260422_220955241_12.png,3,타샤,새도어,,1031만 3529,,45만 7392 45만
KakaoTalk_20260422_220955241_13.png,1,S2베코,비숍,,1030만 1394,,435조 6447억 7970만
KakaoTalk_20260422_220955241_13.png,2,갯수용,새도어,,1027만 7184,,345조 7906억 4526만
KakaoTalk_20260422_220955241_13.png,3,무광잉,신궁,,1018만 9935,전투력 미확인,
KakaoTalk_20260422_220955241_14.png,1,심전,새도어,,1015만 2159,전투력 미확인,
KakaoTalk_20260422_220955241_14.png,2,26길초,다크나이트,,1012만 2225,,486조 6352억 8049만
KakaoTalk_20260422_220955241_14.png,3,여사,다크나이트,,1007만 2872,,400조 1307억 6796만
